time,wx,wy,wz
4.549,-0.21,1.35,1.16
4.554,-0.21,1.35,1.17
4.560,-0.23,1.35,1.18
4.564,-0.23,1.35,1.18
4.569,-0.23,1.32,1.18
4.575,-0.25,1.31,1.18
4.580,-0.24,1.29,1.19
4.584,-0.22,1.28,1.20
4.590,-0.21,1.28,1.22
4.594,-0.19,1.25,1.22
4.600,-0.17,1.25,1.20
4.609,-0.15,1.26,1.20
4.610,-0.14,1.26,1.21
4.614,-0.14,1.26,1.22
4.621,-0.13,1.25,1.22
4.625,-0.13,1.26,1.20
4.630,-0.13,1.26,1.17
4.635,-0.12,1.22,1.17
4.641,-0.12,1.15,1.22
4.645,-0.12,1.18,1.26
4.649,-0.12,1.22,1.23
4.668,-0.10,1.19,1.18
4.669,-0.10,1.13,1.17
4.669,-0.09,1.12,1.16
4.670,-0.08,1.14,1.19
4.676,-0.06,1.12,1.20
4.681,-0.05,1.09,1.18
4.686,-0.04,1.07,1.15
4.690,-0.04,1.07,1.14
4.695,-0.05,1.08,1.14
4.701,-0.04,1.08,1.14
4.706,-0.04,1.07,1.13
4.710,-0.04,1.03,1.13
4.715,-0.04,0.99,1.12
4.722,-0.04,0.99,1.10
4.725,-0.04,1.01,1.08
4.730,-0.03,0.98,1.07
4.737,-0.02,0.95,1.06
4.741,-0.02,0.93,1.04
4.745,-0.01,0.92,1.03
4.750,0.01,0.91,1.02
4.757,0.02,0.88,1.01
4.761,0.02,0.86,0.99
4.766,0.01,0.86,0.99
4.772,0.01,0.84,0.97
4.777,0.01,0.83,0.96
4.782,0.00,0.83,0.94
4.791,-0.01,0.81,0.93
4.792,-0.01,0.78,0.92
4.796,-0.01,0.76,0.91
4.802,-0.03,0.74,0.88
4.806,-0.03,0.74,0.85
4.811,-0.04,0.72,0.82
4.818,-0.05,0.69,0.80
4.822,-0.06,0.67,0.79
4.826,-0.05,0.65,0.77
4.832,-0.04,0.65,0.77
4.836,-0.04,0.63,0.74
4.842,-0.02,0.60,0.71
4.847,-0.01,0.58,0.69
4.852,0.01,0.55,0.67
4.856,0.01,0.53,0.66
4.863,0.02,0.49,0.64
4.867,0.01,0.43,0.63
4.871,-0.01,0.36,0.61
4.876,-0.03,0.32,0.58
4.882,-0.02,0.29,0.55
4.887,0.01,0.27,0.52
4.891,0.03,0.24,0.50
4.904,0.07,0.24,0.49
4.906,0.07,0.19,0.49
4.906,0.09,0.17,0.47
4.912,0.10,0.18,0.44
4.922,0.08,0.19,0.41
4.923,0.04,0.17,0.40
4.927,0.00,0.12,0.36
4.933,-0.02,0.09,0.33
4.937,-0.05,0.10,0.32
4.943,-0.06,0.11,0.30
4.947,-0.06,0.07,0.27
4.952,-0.05,0.01,0.24
4.957,-0.04,-0.03,0.21
4.963,-0.02,-0.03,0.19
